Date,Type,Name,Price,Qty,Profit,Reason
2025-03-17,Buy,삼성전자,57715.2,30,0.0,MACD_골든크로스(추세장)
2025-03-17,Sell,인버스2X,2140.71,777,-6.732559217156658,추세이탈(SMA20)_매도
2025-03-17,Buy,레버리지,16285.341705842126,108,0.0,"스마트_돌파(k=0.45,Vol_OK)"
2025-03-20,Sell,한국카본,14790.36,130,6.4154082259245255,추세이탈(SMA20)_매도
2025-03-21,Sell,삼성전자,61576.6,30,6.690438567309828,RSI_과열_익절
2025-03-28,Buy,인버스2X,2157.6537830356983,816,0.0,"스마트_돌파(k=0.51,Vol_OK)"
2025-03-31,Sell,레버리지,15264.41,108,-6.269022316405443,추세이탈(SMA20)_매도
2025-04-02,Buy,한국카본,15191.104425147905,115,0.0,"스마트_돌파(k=0.51,Vol_OK)"
2025-04-03,Buy,한중엔시에스,22702.8999711152,79,0.0,"스마트_돌파(k=0.57,Vol_OK)"
2025-04-07,Sell,한중엔시에스,21007.9,79,-7.466006427688704,추세이탈(SMA20)_매도
2025-04-10,Buy,한중엔시에스,23071.421432402603,79,0.0,"스마트_돌파(k=0.57,Vol_OK)"
2025-04-14,Rebalance,한국카본,19220.0,19,0.0,비중초과
2025-04-21,Sell,인버스2X,2290.41,816,6.152804403008575,추세이탈(SMA20)_매도
2025-04-29,Buy,레버리지,15692.6182285509,120,0.0,"스마트_돌파(k=0.56,Vol_OK)"
2025-05-09,Sell,레버리지,15768.4,120,0.4829134969410214,RSI초과열(85)_익절
2025-05-12,Buy,삼성전자,57715.2,32,0.0,MACD_골든크로스(추세장)
2025-05-12,Buy,레버리지,16250.169723373876,115,0.0,"스마트_돌파(k=0.65,Vol_OK)"
2025-05-13,Sell,레버리지,16287.36,115,0.22886085043549398,RSI초과열(85)_익절
2025-05-13,Sell,한중엔시에스,24999.9,79,8.358733220004169,추세이탈(SMA20)_매도
2025-05-14,Buy,레버리지,16885.307379957896,112,0.0,"스마트_돌파(k=0.68,Vol_OK)"
2025-05-15,Sell,레버리지,16506.92,112,-2.240926809582553,RSI초과열(85)_익절
2025-05-15,Buy,한중엔시에스,26998.087772647214,70,0.0,"스마트_돌파(k=0.55,Vol_OK)"
2025-05-19,Sell,삼성전자,55688.4,32,-3.5117265469061807,추세이탈(SMA60)_매도
2025-05-21,Buy,레버리지,16646.226,115,0.0,"스마트_돌파(k=0.70,Vol_OK)"
2025-05-23,Sell,한중엔시에스,25948.0,70,-3.889489438993147,추세이탈(SMA20)_매도
2025-05-27,Buy,한중엔시에스,27207.45578969066,68,0.0,"스마트_돌파(k=0.53,Vol_OK)"
2025-05-28,Sell,한중엔시에스,26496.9,68,-2.6116215907255045,추세이탈(SMA20)_매도
2025-06-09,Sell,한국카본,20758.4,96,36.64839250025688,추세이탈(SMA20)_매도
2025-06-11,Rebalance,레버리지,20500.0,20,0.0,비중초과
2025-06-12,Buy,한국카본,22728.870900452854,84,0.0,"스마트_돌파(k=0.55,Vol_OK)"
2025-06-13,Sell,레버리지,20149.62,95,21.04617587193638,RSI초과열(85)_익절
2025-06-16,Buy,레버리지,20878.495183391533,93,0.0,"스마트_돌파(k=0.49,Vol_OK)"
2025-06-18,Sell,레버리지,21372.17,93,2.364513401335431,RSI초과열(85)_익절
2025-06-20,Buy,레버리지,22012.59162939328,89,0.0,"스마트_돌파(k=0.49,Vol_OK)"
2025-06-23,Sell,레버리지,21965.98,89,-0.21174984835060912,RSI초과열(85)_익절
2025-06-24,Buy,레버리지,23165.18294419183,85,0.0,"스마트_돌파(k=0.48,Vol_OK)"
2025-06-25,Sell,레버리지,23582.74,85,1.8025200008742612,RSI초과열(85)_익절
2025-06-30,Buy,한중엔시에스,25714.07565858115,77,0.0,"스마트_돌파(k=0.54,Vol_OK)"
2025-07-01,Buy,레버리지,23916.471467923035,82,0.0,"스마트_돌파(k=0.59,Vol_OK)"
2025-07-01,Sell,한중엔시에스,25099.7,77,-2.3892581897110654,추세이탈(SMA20)_매도
2025-07-02,Buy,한중엔시에스,25664.583090590106,76,0.0,"스마트_돌파(k=0.51,Vol_OK)"
2025-07-04,Sell,한중엔시에스,24401.1,76,-4.923061037579691,추세이탈(SMA20)_매도
2025-07-04,Sell,한국카본,22954.0,84,0.9904983865373655,추세이탈(SMA20)_매도
2025-07-09,Buy,한중엔시에스,25337.390739920706,75,0.0,"스마트_돌파(k=0.49,Vol_OK)"
2025-07-15,Buy,삼성전자,63827.4,30,0.0,MACD_골든크로스(추세장)
2025-07-15,Buy,한국카본,24575.99152373978,79,0.0,"스마트_돌파(k=0.59,Vol_OK)"
2025-07-18,Sell,삼성전자,66965.8,30,4.91701056286172,RSI_과열_익절
2025-07-31,Sell,한국카본,29940.0,79,21.826213892850365,RSI초과열(85)_익절
2025-08-01,Buy,인버스2X,1346.10670288971,1571,0.0,"스마트_돌파(k=0.49,Vol_OK)"
