Date,Open,High,Low,Close,Volume,Adj Close
2024-10-10,181.75,183.25,177.75,180.0,5315084,164.17681884765625
2024-10-11,182.25,183.0,178.25,179.25,4075100,163.4927520751953
2024-10-14,177.0,177.25,173.25,174.75,4557220,159.38832092285156
2024-10-15,174.75,184.25,174.0,182.0,7321924,166.00099182128906
2024-10-16,181.75,185.75,181.0,181.75,4384900,165.77297973632812
2024-10-17,176.0,181.75,175.75,181.5,5221472,165.54495239257812
2024-10-18,179.0,179.75,177.25,178.25,4231272,162.5806427001953
2024-10-21,179.75,182.0,176.5,177.5,5346832,161.89659118652344
2024-10-22,180.5,181.25,175.25,176.75,4969380,161.21250915527344
2024-10-23,179.5,188.75,178.75,185.25,7554816,168.9652862548828
2024-10-24,181.0,184.0,180.0,181.0,5352760,165.0889129638672
2024-10-25,178.0,178.75,172.25,177.75,9008968,162.12460327148438
2024-10-28,174.5,178.0,174.25,177.75,5482468,162.12460327148438
2024-10-29,177.5,179.5,171.25,173.0,6662068,157.79214477539062
2024-10-30,173.5,177.25,172.5,176.5,6501968,160.98448181152344
2024-10-31,181.25,190.25,181.0,190.0,8501396,173.2977294921875
2024-11-01,188.5,189.0,182.25,186.0,8646200,169.64935302734375
2024-11-04,187.0,190.0,184.0,188.0,6692164,171.4735565185547
2024-11-05,186.25,186.25,180.0,180.75,6430704,164.8608856201172
2024-11-06,171.75,173.0,165.25,166.25,8845932,151.63552856445312
2024-11-07,163.4499969482422,163.5,157.60000610351562,158.4499969482422,8425860,144.5211944580078
2024-11-08,159.1999969482422,159.75,157.4499969482422,158.14999389648438,7559100,144.24757385253906
2024-11-11,157.0500030517578,161.14999389648438,156.85000610351562,158.4499969482422,8666060,144.5211944580078
2024-11-12,158.60000610351562,162.25,157.75,159.3000030517578,7396920,145.29649353027344
2024-11-13,159.89999389648438,162.1999969482422,157.5,160.0500030517578,9273940,145.9805450439453
2024-11-14,160.5,164.35000610351562,159.60000610351562,163.39999389648438,8360580,149.03604125976562
2024-11-15,169.10000610351562,177.39999389648438,168.89999389648438,175.4499969482422,10371340,160.0267791748047
2024-11-18,173.8000030517578,175.3000030517578,169.5500030517578,171.8000030517578,6648440,156.69764709472656
2024-11-19,174.60000610351562,174.9499969482422,167.8000030517578,168.4499969482422,8651960,153.64212036132812
2024-11-20,168.75,175.35000610351562,168.4499969482422,168.60000610351562,10737820,153.77894592285156
2024-11-21,165.6999969482422,174.4499969482422,165.0,166.9499969482422,12374960,152.27398681640625
2024-11-22,167.75,169.39999389648438,165.6999969482422,166.39999389648438,6527800,151.7723388671875
2024-11-25,162.35000610351562,168.0,160.85000610351562,165.75,6506840,151.17947387695312
2024-11-26,164.3000030517578,165.14999389648438,162.3000030517578,163.10000610351562,4983380,148.762451171875
2024-11-27,164.3000030517578,170.35000610351562,164.3000030517578,167.0500030517578,5682100,152.3651885986328
2024-11-29,166.6999969482422,167.35000610351562,162.3000030517578,162.89999389648438,3421780,148.5800018310547
2024-12-02,161.8000030517578,162.14999389648438,156.75,157.64999389648438,6202120,143.79150390625
2024-12-03,158.9499969482422,159.5,156.0500030517578,156.25,4946540,142.5146026611328
2024-12-04,153.25,153.89999389648438,150.39999389648438,150.5500030517578,7749340,137.31565856933594
2024-12-05,150.60000610351562,152.1999969482422,149.9499969482422,151.89999389648438,6549420,138.54698181152344
2024-12-06,151.5,151.64999389648438,147.8000030517578,147.9499969482422,7673900,134.94419860839844
2024-12-09,148.85000610351562,152.5,148.1999969482422,151.5500030517578,6830660,138.22775268554688
2024-12-10,150.5500030517578,154.39999389648438,149.0,153.1999969482422,6085380,139.73269653320312
2024-12-11,149.39999389648438,149.6999969482422,144.39999389648438,144.9499969482422,9712160,132.2079315185547
2024-12-12,146.89999389648438,148.25,145.85000610351562,147.85000610351562,7339740,134.85301208496094
2024-12-13,144.75,147.39999389648438,142.4499969482422,144.64999389648438,8046100,131.93431091308594
2024-12-16,142.64999389648438,142.6999969482422,137.6999969482422,138.5,8711540,126.32493591308594
2024-12-17,139.89999389648438,141.64999389648438,139.0500030517578,140.35000610351562,7085380,128.01231384277344
2024-12-18,140.9499969482422,156.8000030517578,139.5500030517578,155.5,16992140,141.8305206298828
2024-12-19,151.39999389648438,158.0500030517578,150.89999389648438,157.75,14122260,143.88272094726562
2024-12-20,161.4499969482422,162.5,148.1999969482422,153.75,16181980,140.23435974121094
2024-12-23,148.35000610351562,151.3000030517578,145.10000610351562,145.39999389648438,7316360,136.2381134033203
2024-12-24,144.0,144.5,139.64999389648438,139.64999389648438,4584520,130.8504180908203
2024-12-26,141.0,142.60000610351562,138.6999969482422,140.0500030517578,5621180,131.22520446777344
2024-12-27,143.0500030517578,149.5500030517578,142.6999969482422,145.75,10221440,136.5660400390625
2024-12-30,151.75,154.85000610351562,148.5,151.6999969482422,9885860,142.14112854003906
2024-12-31,150.6999969482422,156.5,150.0,155.6999969482422,9700940,145.8890838623047
2025-01-02,152.89999389648438,160.8000030517578,150.75,156.6999969482422,12196260,146.82608032226562
2025-01-03,154.0,154.75,148.1999969482422,149.1999969482422,9790320,139.7986602783203
2025-01-06,144.5,146.25,141.14999389648438,144.0500030517578,9559100,134.97317504882812
2025-01-07,143.3000030517578,153.4499969482422,143.0,151.85000610351562,12434400,142.28167724609375
2025-01-08,152.0,156.0500030517578,150.39999389648438,151.75,12668320,142.18797302246094
2025-01-10,155.39999389648438,162.10000610351562,155.35000610351562,159.14999389648438,14137620,149.12167358398438
2025-01-13,164.89999389648438,166.39999389648438,160.39999389648438,160.75,9685600,150.6208953857422
2025-01-14,157.8000030517578,164.64999389648438,156.5500030517578,161.3000030517578,10532540,151.13623046875
2025-01-15,153.8000030517578,155.3000030517578,149.1999969482422,150.39999389648438,13107900,140.9230499267578
2025-01-16,148.35000610351562,153.5500030517578,148.3000030517578,153.4499969482422,9035220,143.78086853027344
2025-01-17,144.9499969482422,148.5500030517578,144.4499969482422,145.9499969482422,11154500,136.75344848632812
2025-01-21,143.8000030517578,147.5,142.5,143.5,8584980,134.45782470703125
2025-01-22,139.75,139.9499969482422,136.14999389648438,138.0500030517578,9526980,129.3512420654297
2025-01-23,140.0500030517578,140.5,137.14999389648438,137.1999969482422,6938440,128.55479431152344
2025-01-24,137.14999389648438,140.89999389648438,136.5,139.64999389648438,6684980,130.8504180908203
2025-01-27,154.60000610351562,155.1999969482422,148.9499969482422,152.0,16994760,142.42222595214844
2025-01-28,151.10000610351562,154.1999969482422,144.1999969482422,145.1999969482422,10805520,136.0507049560547
2025-01-29,144.75,149.39999389648438,144.64999389648438,146.14999389648438,11526220,136.9408416748047
2025-01-30,143.75,148.39999389648438,141.8000030517578,144.25,9590200,135.1605682373047
2025-01-31,141.3000030517578,146.0500030517578,137.5500030517578,145.14999389648438,14643120,136.0038604736328
2025-02-03,152.5,154.60000610351562,146.39999389648438,148.60000610351562,17833660,139.23646545410156
2025-02-04,148.35000610351562,148.6999969482422,142.75,143.25,9443660,134.22360229492188
2025-02-05,145.5,146.5,141.3000030517578,141.4499969482422,7320820,132.5369873046875
2025-02-06,141.0500030517578,142.35000610351562,139.0500030517578,139.1999969482422,7532540,130.4287872314453
2025-02-07,139.0,145.3000030517578,137.4499969482422,144.64999389648438,12007940,135.53533935546875
2025-02-10,141.14999389648438,141.5500030517578,138.60000610351562,139.5500030517578,8818200,130.75672912597656
2025-02-11,142.14999389648438,142.25,139.0,140.5,8298760,131.6468505859375
2025-02-12,145.14999389648438,145.4499969482422,139.64999389648438,140.3000030517578,12786500,131.45947265625
2025-02-13,139.10000610351562,139.6999969482422,134.14999389648438,134.35000610351562,12631720,125.88439178466797
2025-02-14,134.4499969482422,134.8000030517578,132.39999389648438,132.9499969482422,8149820,124.57258605957031
2025-02-18,131.8000030517578,134.5500030517578,131.5500030517578,132.0500030517578,6892020,123.72930908203125
2025-02-19,132.6999969482422,134.25,131.0500030517578,132.0,7446780,123.6824722290039
